"id";"date";"monthly_value";"quarterly_value";"yearly_value";"quarter_id";"month_id";"month";"quarter_year_name";"month_year_name"
"58";"2018-02-27";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"59";"2018-02-28";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"60";"2018-03-01";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"61";"2018-03-02";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"62";"2018-03-03";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"63";"2018-03-04";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"64";"2018-03-05";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"65";"2018-03-06";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"66";"2018-03-07";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"67";"2018-03-08";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"68";"2018-03-09";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"69";"2018-03-10";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"70";"2018-03-11";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"71";"2018-03-12";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"72";"2018-03-13";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"73";"2018-03-14";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"74";"2018-03-15";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"75";"2018-03-16";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"76";"2018-03-17";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"77";"2018-03-18";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"78";"2018-03-19";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"79";"2018-03-20";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"80";"2018-03-21";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"81";"2018-03-22";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"82";"2018-03-23";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"83";"2018-03-24";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"84";"2018-03-25";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"85";"2018-03-26";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"86";"2018-03-27";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"87";"2018-03-28";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"88";"2018-03-29";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"89";"2018-03-30";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"90";"2018-03-31";"3";"1";"2018";"2018001";"2018003";"März";"1 Qu 2018";"Mär 2018"
"91";"2018-04-01";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"92";"2018-04-02";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"93";"2018-04-03";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"94";"2018-04-04";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
